Distribuidora;Ano;Codigo;PMSOaj;rsub;rdist_a;ralta;mponderado;cons;PNTaj;CHIaj
RGE SUL;2014-2016;D01;325979,4154 ;4,6382 ;71159,2823 ;2008,0847 ;3842151,0500 ;1307968,3330 ;201114,8488 ;11059230,4500 
AMAZONAS;2014-2016;D02;468120,6875 ;0,0000 ;43673,4200 ;310,2000 ;2707020,5940 ;902270,0000 ;2395257,6200 ;26761367,0600 
AMPLA;2014-2016;D03;658257,3171 ;0,0040 ;52846,5078 ;2228,8093 ;5265492,5470 ;2593174,6670 ;1250356,8500 ;39576353,4300 
BANDEIRANTE;2014-2016;D04;352211,4263 ;115,1971 ;29930,4513 ;2540,8734 ;5069423,3240 ;1770094,6670 ;395785,1078 ;1727693,5130 
BOA VISTA;2014-2016;D05;91656,7211 ;0,0000 ;3396,8700 ;70,5900 ;450442,2381 ;107168,0000 ;54855,5898 ;782528,7467 
CAIUÁ;2014-2016;D06;66782,1705 ;0,0052 ;9429,2815 ;208,3044 ;687178,7537 ;238874,0000 ;17716,3711 ;915905,3667 
CEAL;2014-2016;D08;324088,0336 ;0,0000 ;39995,4487 ;1835,2517 ;1684999,3910 ;1058793,6670 ;428692,6956 ;18153758,5500 
CEB;2014-2016;D09;381490,9860 ;1823,7256 ;14830,8599 ;521,2533 ;3754964,7850 ;1009716,0000 ;53942,0305 ;7704064,7800 
CEEE;2014-2016;D10;643515,9601 ;358,7074 ;54913,4273 ;1781,9130 ;4138242,1900 ;1628651,6670 ;767258,0831 ;20371013,7800 
CELESC;2014-2016;D11;837578,5605 ;555,9555 ;121775,3174 ;4457,6780 ;9049775,1540 ;2760333,6670 ;0,0000 ;14941115,0700 
CELG;2014-2016;D12;948403,9426 ;386,0198 ;207133,4116 ;5629,2234 ;6206654,4150 ;2784800,3330 ;356407,4653 ;76130243,1500 
CELPA;2014-2016;D13;678124,1765 ;0,0000 ;118909,7789 ;3944,3411 ;4406722,6920 ;2312302,3330 ;26550,4814 ;43396079,9000 
CELPE;2014-2016;D14;861117,2024 ;24,1966 ;138173,3479 ;4369,1729 ;6266417,5960 ;3516292,6670 ;196008,0249 ;27595435,5000 
ETO;2014-2016;D15;250567,1733 ;0,0514 ;87275,4516 ;2568,0828 ;1125542,5260 ;560028,3333 ;21330,2053 ;9718375,1000 
CEMAR;2014-2016;D16;497342,5779 ;0,4297 ;122497,0656 ;4640,9730 ;3653943,0050 ;2272727,0000 ;24832,0746 ;5563012,1270 
EMT;2014-2016;D17;532233,9234 ;0,0669 ;169475,4680 ;5824,3694 ;3881345,8270 ;1298040,3330 ;235079,8656 ;14695791,3500 
CEMIG;2014-2016;D18;2260483,5770 ;687,0000 ;485796,7500 ;16525,1600 ;16716478,7900 ;8100571,0000 ;1363470,2310 ;15578098,4800 
CEPISA;2014-2016;D19;393252,8561 ;0,0000 ;86321,8450 ;2702,0646 ;2001777,3480 ;1181602,6670 ;392843,6917 ;12040022,4600 
CERON;2014-2016;D20;319505,3291 ;0,0000 ;52622,7000 ;692,2000 ;1751597,3430 ;593161,3333 ;644706,3829 ;4860913,5970 
CFLO;2014-2016;D22;15795,9651 ;0,0000 ;1798,5600 ;0,0000 ;151238,4621 ;56780,0000 ;1207,0874 ;0,0000 
CHESP;2014-2016;D23;15617,1975 ;0,0000 ;3270,7791 ;62,9533 ;75456,6607 ;34917,6667 ;750,6945 ;125203,9900 
JAGUARI;2014-2016;D24;12324,8187 ;4,6099 ;1031,9111 ;28,6300 ;230479,0913 ;39145,0000 ;4293,5656 ;58379,4567 
MOCOCA;2014-2016;D25;11970,2862 ;0,0000 ;2313,1599 ;0,0000 ;134430,8613 ;45590,0000 ;4216,1040 ;63372,8433 
SANTA CRUZ;2014-2016;D26;52034,9616 ;0,0033 ;10002,4162 ;475,0706 ;500963,5647 ;204248,6667 ;20043,9374 ;194088,5500 
NACIONAL;2014-2016;D27;32718,3967 ;0,0000 ;4047,9847 ;188,9633 ;341645,9326 ;114130,0000 ;9181,5523 ;167248,5100 
COCEL;2014-2016;D28;20538,2178 ;0,3013 ;2301,3576 ;0,0000 ;144163,8586 ;48304,3333 ;4015,4467 ;0,0000 
COELBA;2014-2016;D29;1341275,5320 ;357,9745 ;266332,8000 ;9806,4574 ;8870759,9270 ;5709211,6670 ;176210,3485 ;62402676,5300 
COELCE;2014-2016;D30;571992,8275 ;0,0000 ;173246,9443 ;5080,4583 ;5951321,2350 ;3363609,6670 ;33007,0812 ;6755363,0030 
COOPERALIANÇA;2014-2016;D31;13182,9829 ;0,0000 ;1510,4975 ;8,4142 ;95873,4189 ;35728,6667 ;2764,5873 ;0,0000 
COPEL;2014-2016;D32;1326796,3000 ;237,5055 ;236718,6631 ;6551,5172 ;12540769,2800 ;4408476,3330 ;99162,0992 ;21039283,8400 
COSERN;2014-2016;D33;294446,2036 ;55,3291 ;52078,2513 ;2362,5612 ;2507846,9880 ;1343688,0000 ;7327,8978 ;7946155,1730 
CPEE;2014-2016;D34;17364,0016 ;0,0144 ;3766,6501 ;3,0507 ;192197,9443 ;56426,0000 ;8328,7539 ;104608,4467 
PIRATININGA;2014-2016;D35;300814,7648 ;528,8936 ;25020,8318 ;1388,2818 ;5244574,4840 ;1624808,6670 ;30468,9038 ;2998877,2530 
CPFL PAULISTA;2014-2016;D36;793720,8781 ;412,4771 ;122255,8903 ;7042,2743 ;11993496,0300 ;4159625,6670 ;327115,8357 ;8449212,2700 
CSPE;2014-2016;D37;21269,4223 ;0,0000 ;4720,7477 ;21,1163 ;229504,7952 ;82295,6667 ;13157,1594 ;326249,8900 
DEMEI;2014-2016;D38;11389,3588 ;0,1448 ;504,8795 ;0,1119 ;94315,5741 ;31735,0000 ;2899,4039 ;35711,2667 
DMED;2014-2016;D39;46844,5972 ;0,7477 ;1461,4355 ;40,6751 ;214651,2541 ;72434,0000 ;6648,2585 ;0,0000 
EBO;2014-2016;D40;44780,7217 ;0,0526 ;5253,7063 ;40,8739 ;353069,6308 ;203170,0000 ;42,3201 ;0,0000 
VALE PARANAPANEMA;2014-2016;D41;47981,6467 ;0,0000 ;8665,7841 ;81,8294 ;493034,3134 ;178185,6667 ;9656,1722 ;130309,7967 
BRAGANTINA;2014-2016;D42;47991,9573 ;0,0000 ;6922,3015 ;94,8307 ;427097,9251 ;152184,0000 ;7951,7290 ;635538,9500 
JOAO CESA;2014-2016;D43;2294,8670 ;0,0000 ;56,8170 ;0,0000 ;9975,3234 ;3594,6667 ;274,2258 ;0,0000 
URUSSANGA;2014-2016;D44;6204,3565 ;0,0000 ;378,2280 ;0,0000 ;39488,3923 ;6516,6667 ;289,4950 ;0,0000 
ELEKTRO;2014-2016;D45;522991,3059 ;51,6306 ;121348,9218 ;9970,9646 ;6783701,6040 ;2497236,3330 ;162032,9852 ;1830870,2870 
ELETROACRE;2014-2016;D46;114888,6724 ;0,0000 ;18000,0000 ;410,0000 ;590320,7960 ;243843,6667 ;90140,2087 ;7401656,5530 
ELETROCAR;2014-2016;D47;16210,7749 ;0,0000 ;2299,9165 ;124,5392 ;103989,1344 ;36079,3333 ;3319,9864 ;65535,5433 
ELETROPAULO;2014-2016;D48;1457826,7680 ;3582,7379 ;57701,1888 ;1666,6975 ;20975413,8300 ;6800583,3330 ;97877,1591 ;64813602,5800 
SANTA MARIA;2014-2016;D49;34789,4876 ;11,2946 ;7665,5386 ;102,6236 ;349807,7258 ;105817,6667 ;6489,8348 ;0,0000 
EMG;2014-2016;D50;126325,4829 ;0,0000 ;26557,4759 ;1091,6823 ;801694,5242 ;432820,0000 ;486,0548 ;0,0000 
EMS;2014-2016;D51;345073,7157 ;702,6783 ;96518,4224 ;4027,3444 ;2397035,9590 ;966664,0000 ;53829,6329 ;3411744,8300 
ENF;2014-2016;D52;35742,4312 ;0,0000 ;1979,9121 ;20,7363 ;218823,6623 ;102496,0000 ;1740,0778 ;6152,1600 
EPB;2014-2016;D53;304633,1226 ;10,6616 ;71938,8264 ;2313,9957 ;2155883,1480 ;1348936,6670 ;28067,8301 ;7196792,0670 
ESCELSA;2014-2016;D54;336224,5389 ;2,2793 ;58192,0320 ;2643,9830 ;3567611,9330 ;1471364,3330 ;319086,5495 ;918029,5267 
ESE;2014-2016;D55;185887,3990 ;14,4764 ;25628,0351 ;1326,7874 ;1353489,3880 ;729525,3333 ;2104,5491 ;2700236,6630 
FORCEL;2014-2016;D56;4285,4068 ;0,0000 ;14,4500 ;0,0000 ;25419,8635 ;7295,0000 ;0,0000 ;0,0000 
HIDROPAN;2014-2016;D57;7568,7008 ;0,0000 ;492,1652 ;40,7955 ;54780,8424 ;17721,6667 ;551,7642 ;0,0000 
IGUAÇU;2014-2016;D58;17606,3478 ;0,0000 ;2255,9600 ;0,0000 ;124370,2285 ;33611,0000 ;8217,5097 ;8282,3267 
LIGHT;2014-2016;D60;922882,3239 ;705,6038 ;67378,2025 ;0,6249 ;11631789,3700 ;3812497,6670 ;1721525,9350 ;25140948,7100 
MUXFELDT;2014-2016;D61;2304,7482 ;0,0000 ;183,3300 ;0,0000 ;31693,0294 ;10847,0000 ;1352,4011 ;3208,3567 
RGE;2014-2016;D62;304029,9380 ;71,8138 ;82410,9958 ;1846,5912 ;4193765,8110 ;1433042,3330 ;59643,0697 ;6140016,0200 
SULGIPE;2014-2016;D63;43027,6344 ;0,0000 ;6397,8590 ;189,1142 ;171108,9458 ;139314,0000 ;11166,5839 ;0,0000 
NOVA PALMA;2014-2016;D64;5762,5882 ;0,0000 ;1653,8550 ;0,0000 ;41854,9746 ;15332,0000 ;199,4219 ;0,0000 
